date,liters,energy
2017-02-03,92,1621
2016-09-22,223,817
2016-05-25,243,545
2016-05-11,286,1724
2016-10-08,182,1529
2016-08-10,184,786
2016-11-10,149,1436
2017-02-20,216,1207
2016-11-04,163,1250
2016-09-10,249,1219
2017-04-18,265,1264
2017-01-17,276,1768
2017-01-17,178,1479
2016-05-25,245,1344
2017-01-12,210,1449
2016-12-13,209,1597
2016-05-08,310,665
2016-11-29,285,990
2017-04-06,179,1221
2016-08-10,234,1570
2016-11-13,218,1316
2016-10-21,249,1025
2017-02-18,196,1633
2017-03-10,257,708
2016-09-15,224,916
2016-12-04,211,1393
2016-07-24,310,1067
2016-08-08,183,1175
2016-05-27,248,964
2016-09-18,222,1465
2016-08-14,112,1069
2016-07-29,138,871
2016-06-23,197,964
2016-09-03,298,1192
2016-06-25,260,645
2016-07-22,126,1170
2017-04-28,200,1637
2016-07-11,119,812
2017-01-24,305,1547
2017-04-25,166,1557
2016-11-28,233,1339
2016-06-02,242,1186
2016-09-29,261,1332
2016-10-10,288,1362
2016-08-29,298,681
2017-02-17,264,1555
2016-08-23,196,1347
2016-09-27,150,694
2016-08-13,193,1514
2016-11-11,192,769
2016-12-15,195,1040
2016-10-25,213,1696
2017-01-30,170,1129
2016-06-07,258,1457
2017-02-09,122,1572
2016-09-15,93,925
2016-12-30,211,1045
2016-05-02,157,1219
2017-02-06,129,1624
2016-08-09,142,561
2017-01-27,204,1130
2016-11-05,244,1052
2016-08-19,264,1123
2016-12-31,145,736
2016-09-06,205,1692
2017-01-01,152,1565
2017-04-14,233,1143
2016-08-31,164,1340
2017-02-12,219,1763
2016-11-29,265,1722
2017-02-08,185,769
2016-10-19,294,1275
2016-05-28,327,1121
2016-10-18,200,1190
2016-06-17,250,1385
2016-08-31,188,992
2016-08-29,230,571
2016-12-30,98,1086
2016-11-28,113,1460
2017-03-15,260,1146
2016-10-22,201,1367
2016-10-19,193,1247
2017-04-07,258,1269
2016-06-23,330,1315
2017-02-20,241,1288
2016-06-18,268,579
2017-02-01,179,1726
2016-07-31,261,662
2016-06-16,284,1127
2016-07-25,277,907
2016-11-13,151,896
2016-08-30,205,1196
2017-01-27,185,1537
2016-07-06,119,1386
2016-11-26,204,731
2016-09-12,135,974
2016-10-04,122,1214
2016-08-06,244,1016
2016-08-14,194,1355
2017-03-11,225,1720
2017-04-02,279,837
2017-04-12,158,1503
2017-04-01,249,787
2016-09-16,118,1167
2016-09-07,253,858
2016-10-14,128,1321
2016-07-30,268,755
2016-12-16,149,1543
2016-07-24,146,602
2016-05-02,151,845
2016-10-11,204,1559
2016-10-03,157,1387
2016-11-04,207,1183
2017-01-11,193,854
2017-01-25,207,727
2016-08-28,240,1178
2017-02-22,272,1571
2016-06-05,179,1290
2017-02-20,233,729
2016-05-03,157,1298
2016-06-12,273,1521
2016-05-14,124,1743
2016-07-24,188,1350
2016-12-26,167,681
2016-08-29,197,614
2016-08-09,214,810
2016-07-03,275,829
2017-04-20,178,1323
2017-04-03,291,1475
2016-07-23,128,1077
2017-02-28,189,1475
2016-07-29,150,1367
2016-05-21,158,830
2017-02-13,182,1558
2016-09-24,279,816
2017-02-10,258,928
2017-03-20,191,1366
2016-06-28,208,1208
2016-12-18,286,1151
2017-03-21,193,1497
2017-01-10,265,686
2016-05-04,223,822
2016-06-07,108,823
2016-07-01,230,713
2016-12-22,270,1160
2016-10-15,230,1036
2016-11-28,123,1511
2016-12-13,188,809
2016-10-02,176,762
2016-09-02,229,1574
2016-12-15,268,900
2016-11-15,289,936
2016-09-29,205,592
2017-01-20,171,870
2016-05-18,209,924
2016-11-17,174,834
2017-04-18,215,945
2016-12-28,323,724
2017-03-01,228,786
2017-01-19,191,680
2016-06-27,273,1292
2016-12-31,230,1543
2017-04-24,198,963
2016-10-01,162,636
2016-05-24,139,709
2016-07-08,113,842
2017-03-16,279,1489
2017-04-16,272,965
2016-12-26,279,1337
2017-01-20,233,1410
2017-02-13,161,1336
2016-10-13,140,1150
2016-07-17,267,1310
2016-10-15,219,777
2016-09-28,232,1002
2017-03-19,284,1259
2016-09-05,100,1072
2017-01-27,198,1330
2017-02-23,190,1304
2016-10-05,171,1368
2016-05-14,212,1076
2016-07-19,241,697
2016-06-12,183,760
2017-04-22,311,913
2016-09-24,291,1020
2017-03-08,198,1527
2016-09-12,146,516
2016-10-17,155,957
2017-03-29,123,1388
2016-05-30,252,1102
2016-12-21,193,995
2017-04-16,192,1319
2017-03-22,185,1407
2017-02-01,318,1532
2016-09-06,236,1353
2016-11-16,158,601
2017-02-16,181,502
2017-03-16,199,1216
2016-11-14,147,657
2016-10-16,187,1481
2016-05-09,163,1320
2017-02-02,330,851
2017-04-25,193,1195
2017-02-02,275,1538
2016-07-14,150,761
2017-04-06,144,665
2016-12-24,267,739
2016-07-26,299,1270
2017-04-14,220,1565
2016-06-25,124,1122
2017-04-09,213,1173
2016-06-17,139,769
2017-02-10,253,1194
2017-02-06,216,1091
2016-09-10,257,1516
2016-09-16,175,889
2016-05-27,179,1196
2016-09-15,188,916
2017-02-07,147,1168
2016-05-31,303,644
2016-12-22,255,1260
2017-03-04,199,1344
2016-08-10,192,1311
2016-07-05,194,1205
2017-02-11,264,1512
2016-09-14,239,1062
2016-11-16,212,926
2016-06-21,215,1197
2017-02-18,251,1440
2017-01-03,173,1075
2016-06-23,165,1121
2016-05-01,239,1318
2016-07-13,244,791
2016-06-02,153,1402
2016-12-21,207,943
2017-04-23,262,514
2017-02-15,194,859
2016-07-30,233,922
2016-09-23,162,1305
2016-05-17,234,1415
2016-07-23,165,1260
2017-04-05,114,696
2017-04-09,183,920
2017-03-09,279,831
2017-04-03,225,1428
2016-10-28,265,1464
2017-01-26,283,1087
2017-02-01,198,709
2016-12-02,257,1262
2017-01-09,207,738
2017-01-07,158,1489
2017-02-25,150,666
2016-05-06,190,707
2017-02-01,209,1574
2016-08-27,269,736
2017-02-28,126,1779
2016-12-16,146,1069
2016-12-20,181,685
2016-11-23,160,660
2016-11-05,267,982
2016-06-20,259,1204
2016-12-09,157,1535
2016-09-29,299,813
2017-03-19,174,599
2016-10-26,232,644
2016-10-04,109,1206
2016-10-22,256,920
